stock_code,trade_date,stock_code,equity,cash,cumu_r,nav,volume,buy_sell,operation_price,operation_volume,is_long
600518.SH,2019-03-29,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-01,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-02,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-03,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-04,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-08,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-09,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-10,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-11,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-12,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-15,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-16,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-17,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-18,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-19,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-22,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-23,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-24,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-25,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
600518.SH,2019-04-26,600518.SH,0.0,1063.03,0.063,1063.03,0.0,NA,0.0,0.0,0
